trade_num,signal,entry_dt_utc,entry_date_utc,net_pnl_usd,n_entries_that_day,gap_atr_signed,abs_gap_atr,gap_present,in_gap_p80,in_gap_p85,in_gap_p90,in_gap_p95
1,Long,2022-01-04 15:15:00,2022-01-04,-2016.59,1,0.635961,0.635961,True,True,True,True,False
2,Long,2022-01-07 16:45:00,2022-01-07,-1982.5,1,-0.093504,0.093504,True,False,False,False,False
3,Long,2022-01-28 16:15:00,2022-01-28,76.68,1,-0.620938,0.620938,True,True,True,True,False
4,Long,2022-02-04 14:30:00,2022-02-04,-2070.44,1,-0.186616,0.186616,True,False,False,False,False
5,Long,2022-02-25 15:15:00,2022-02-25,3906.0,2,0.323286,0.323286,True,False,False,False,False
6,Long Add,2022-02-25 16:45:00,2022-02-25,-737.8,2,0.323286,0.323286,True,False,False,False,False
7,Long,2022-03-15 14:30:00,2022-03-15,73.48,2,0.143892,0.143892,True,False,False,False,False
8,Long,2022-03-15 16:15:00,2022-03-15,-1976.63,2,0.143892,0.143892,True,False,False,False,False
9,Long,2022-03-18 14:00:00,2022-03-18,-1958.58,3,-0.058419,0.058419,True,False,False,False,False
10,Long,2022-03-18 16:30:00,2022-03-18,5494.5,3,-0.058419,0.058419,True,False,False,False,False
11,Long Add,2022-03-18 19:00:00,2022-03-18,10470.03,3,-0.058419,0.058419,True,False,False,False,False
12,Long,2022-03-25 14:15:00,2022-03-25,70.87,1,0.102091,0.102091,True,False,False,False,False
13,Long,2022-04-08 14:45:00,2022-04-08,75.0,1,0.170663,0.170663,True,False,False,False,False
14,Long,2022-04-19 13:45:00,2022-04-19,74.52,2,-0.229972,0.229972,True,False,False,False,False
15,Long,2022-04-19 14:15:00,2022-04-19,75.0,2,-0.229972,0.229972,True,False,False,False,False
16,Long,2022-05-03 15:00:00,2022-05-03,79.58,1,0.133939,0.133939,True,False,False,False,False
17,Long,2022-05-27 13:45:00,2022-05-27,-68.25,2,0.254023,0.254023,True,False,False,False,False
18,Long,2022-05-27 15:15:00,2022-05-27,164.61,2,0.254023,0.254023,True,False,False,False,False
19,Long,2022-05-31 15:45:00,2022-05-31,78.69,1,-0.535586,0.535586,True,True,True,False,False
20,Long,2022-06-07 14:30:00,2022-06-07,78.4,1,-0.564873,0.564873,True,True,True,False,False
21,Long,2022-06-21 13:45:00,2022-06-21,617.9,1,0.193723,0.193723,True,False,False,False,False
22,Long,2022-06-24 15:30:00,2022-06-24,74.76,1,0.463304,0.463304,True,True,False,False,False
23,Long,2022-07-15 14:15:00,2022-07-15,79.55,1,0.645376,0.645376,True,True,True,True,False
24,Long,2022-07-19 14:00:00,2022-07-19,2960.96,4,0.436241,0.436241,True,False,False,False,False
25,Long Add,2022-07-19 15:30:00,2022-07-19,-1234.24,4,0.436241,0.436241,True,False,False,False,False
26,Long,2022-07-19 16:30:00,2022-07-19,1343.16,4,0.436241,0.436241,True,False,False,False,False
27,Long Add,2022-07-19 18:00:00,2022-07-19,-4994.85,4,0.436241,0.436241,True,False,False,False,False
28,Long,2022-07-29 14:15:00,2022-07-29,71.53,2,-0.116179,0.116179,True,False,False,False,False
29,Long,2022-07-29 16:45:00,2022-07-29,72.75,2,-0.116179,0.116179,True,False,False,False,False
30,Long,2022-08-02 16:15:00,2022-08-02,-2095.6,1,-0.456339,0.456339,True,True,False,False,False
